mã ngành,mã mục,nội dung
II,4,"4. Chuẩn đầu ra của chương trình
Sau khi tốt nghiệp chương trình đào tạo Cử nhân Công nghệ Thông tin, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng kiến thức toán, khoa học cơ bản và CNTT vào giải quyết vấn đề kỹ thuật; giải thích được kiến thức nền tảng về máy tính (hệ thống, giải thuật, lập trình, cơ sở dữ liệu, phân tích thiết kế phần mềm, mạng máy tính) và áp dụng kiến thức chuyên sâu của một trong các lĩnh vực công nghệ phần mềm, hệ thống thông tin, khoa học máy tính hoặc mạng máy tính vào việc phân tích, so sánh các giải pháp CNTT trong thực tiễn. Về kỹ năng (PLO2), sinh viên phải có khả năng phát hiện, mô tả vấn đề về CNTT và truyền thông; triển khai giải pháp CNTT, phân tích dữ liệu và đánh giá kỹ thuật; có kỹ năng lập kế hoạch, quản lý nhóm và dự án; tư duy logic, sáng tạo; thành thạo ngôn ngữ và công cụ lập trình hiện đại; có năng lực làm việc độc lập, tự học suốt đời và đạt trình độ tiếng Anh tương đương bậc 3/6 Khung năng lực ngoại ngữ Việt Nam. Về mức độ tự chủ và chịu trách nhiệm (PLO3), sinh viên cần tuân thủ pháp luật, đạo đức nghề nghiệp, trung thực, có trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, hỗ trợ đồng nghiệp và ý thức đóng góp tạo ra sản phẩm có giá trị cho cộng đồng và phát triển chuyên môn."
II,5,"5. Những vị trí công tác sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Sinh viên tốt nghiệp ngành Công nghệ Thông tin có khả năng tham mưu, tư vấn và thực hiện nhiệm vụ chuyên môn như một chuyên viên trong lĩnh vực Công nghệ Thông tin, đáp ứng các yêu cầu về nghiên cứu và ứng dụng của xã hội. Các vị trí công tác cụ thể mà sinh viên có thể đảm nhận rất đa dạng, bao gồm Lập trình viên hệ thống và cơ sở dữ liệu, Lập trình viên trên môi trường di động và Web, Lập trình viên phát triển các hệ thống thông minh. Sinh viên cũng có thể làm Chuyên viên phân tích, thiết kế, phát triển hệ thống; Quản trị mạng, chuyên viên an ninh mạng; Chuyên viên thiết kế và xử lý nội dung số; Chuyên viên tư vấn dịch vụ công nghệ thông tin; hoặc Chuyên viên kiểm thử phần mềm. Ngoài ra, với kinh nghiệm và năng lực được tích lũy, họ hoàn toàn có khả năng phát triển lên các vị trí quản lý như trưởng nhóm phát triển phần mềm, quản lý hệ thống thông tin, hoặc quản lý dự án."
II,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi tốt nghiệp, các cử nhân Công nghệ Thông tin có nhiều cơ hội để tiếp tục học tập và nâng cao trình độ chuyên môn. Họ có thể lựa chọn theo học các chương trình đào tạo sau đại học (Thạc sĩ, Tiến sĩ) tại các trường đại học uy tín trong nước và quốc tế, hoặc có thể chọn con đường không ngừng nghiên cứu, tích lũy kinh nghiệm thực hành và trau dồi kỹ năng chuyên sâu thông qua việc giải quyết các bài toán và thách thức công nghệ thực tế tại các doanh nghiệp và tổ chức xã hội, qua đó từng bước trở thành những chuyên gia hàng đầu, đóng góp tích cực vào sự phát triển không ngừng của ngành Công nghệ Thông tin trong tương lai."
II,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Cử nhân Công nghệ Thông tin có tổng cộng 136 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ một cách khoa học thành các khối kiến thức chính: Khối kiến thức chung chiếm 26 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, ngoại ngữ và tin học cơ bản; tiếp đó là Khối kiến thức chung theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Sau đó, Khối kiến thức chung theo khối ngành gồm 10 tín chỉ, bao gồm các môn học cơ sở ngành trực tiếp và quan trọng. Khối kiến thức chung theo nhóm ngành với 30 tín chỉ sẽ trang bị các kiến thức cốt lõi đặc thù của ngành Công nghệ Thông tin. Phần kiến thức chuyên sâu và chiếm tỷ trọng lớn nhất là Khối kiến thức ngành, với tổng cộng 51 tín chỉ, được thiết kế để sinh viên có thể đi sâu vào các lĩnh vực chuyên môn cụ thể; trong đó, khối này được chia nhỏ thành 12 tín chỉ dành cho các học phần bắt buộc của ngành; 27 tín chỉ dành cho các học phần tự chọn, cho phép sinh viên linh hoạt lựa chọn để phát triển chuyên môn sâu theo các định hướng nghề nghiệp; 05 tín chỉ được dành cho các học phần tự chọn bổ trợ nhằm giúp sinh viên mở rộng kiến thức sang các lĩnh vực liên ngành hoặc rèn luyện thêm các kỹ năng cần thiết khác; và cuối cùng, 07 tín chỉ được dành cho Khóa luận tốt nghiệp, hoặc các học phần thay thế tương đương, để tổng kết kiến thức và thể hiện năng lực chuyên môn trước khi ra trường."
III,1,"1. Một số thông tin về chương trình đào tạo
Chương trình đào tạo mang tên ""Công nghệ thông tin định hướng thị trường Nhật Bản"" (tên tiếng Anh: Information Technology for Japanese market), thuộc ngành Công nghệ Thông tin (Information Technology) với mã số 7480201. Chương trình được thiết kế với thời gian đào tạo là 4 năm, và sinh viên hoàn thành chương trình sẽ được cấp danh hiệu Cử nhân. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Cử nhân ngành Công nghệ Thông tin"" và bằng tiếng Anh là ""The Degree of Bachelor in Information Technology""."
III,2,"2. Mục tiêu của chương trình đào tạo
Chương trình Công nghệ thông tin định hướng thị trường Nhật Bản đặt mục tiêu chung là đào tạo sinh viên tốt nghiệp có khả năng đảm nhiệm các công việc trong vai trò kỹ sư Công nghệ Thông tin, đặc biệt có sự chuẩn bị và sẵn sàng để làm việc hiệu quả tại các doanh nghiệp Nhật Bản, cũng như tại một số quốc gia phát triển khác. Về mục tiêu cụ thể, chương trình tập trung trang bị cho sinh viên các kiến thức cơ bản, quan trọng và hiện đại về công nghệ thông tin và truyền thông; đồng thời, sinh viên sẽ được rèn luyện các kỹ năng thực hành ở mức độ cao, tập trung chủ yếu vào lĩnh vực công nghệ phần mềm, giúp họ nắm vững và thành thạo trong các quy trình từ phân tích, thiết kế, xây dựng, cài đặt, bảo trì, đến phát triển và quản lý các hệ thống, chương trình và dự án phần mềm phức tạp. Bên cạnh đó, chương trình đặc biệt chú trọng việc trang bị các kỹ năng mềm quan trọng, giúp sinh viên thích ứng và làm việc thành công trong môi trường doanh nghiệp Công nghệ Thông tin nói chung và môi trường đặc thù của các doanh nghiệp Nhật Bản nói riêng. Một yếu tố không thể thiếu là sinh viên cũng sẽ được trang bị kỹ năng sử dụng ngoại ngữ tiếng Nhật ở mức độ đủ để giao tiếp hiệu quả với đồng nghiệp nước ngoài về các vấn đề chuyên môn hoặc các tình huống xã hội thông thường."
III,3,"3. Thông tin tuyển sinh
Công tác tuyển sinh cho chương trình Công nghệ thông tin định hướng thị trường Nhật Bản được tiến hành theo đúng các Quy chế và Quy định về công tác tuyển sinh đại học do Bộ Giáo dục và Đào tạo ban hành hàng năm. Quá trình này cũng tuân thủ chặt chẽ các hướng dẫn cụ thể từ Đại học Quốc gia Hà Nội và nội dung chi tiết trong Đề án tuyển sinh được Trường Đại học Công nghệ xây dựng và công bố chính thức mỗi năm."
III,4,"4. Chuẩn đầu ra của chương trình
Sau khi hoàn thành chương trình đào tạo Công nghệ thông tin định hướng thị trường Nhật Bản, người học phải đạt được các yêu cầu năng lực tối thiểu một cách toàn diện. Về kiến thức (PLO1), sinh viên cần diễn giải được kiến thức cơ bản về khoa học xã hội, chính trị, pháp luật, văn hóa, thể chất và quốc phòng; vận dụng hiệu quả kiến thức toán, khoa học cơ bản và CNTT vào giải quyết các bài toán kỹ thuật; giải thích được kiến thức nền tảng về máy tính (bao gồm hệ thống máy tính, giải thuật, lập trình, cơ sở dữ liệu, phân tích thiết kế và phát triển phần mềm, mạng máy tính) trong nghiên cứu và phát triển các giải pháp kỹ thuật CNTT; và áp dụng được kiến thức chuyên sâu của một trong các lĩnh vực công nghệ phần mềm, hệ thống thông tin, khoa học máy tính hoặc mạng máy tính để phân tích, so sánh các giải pháp CNTT trong thực tiễn. Về kỹ năng (PLO2), sinh viên phải có khả năng phát hiện, mô tả vấn đề và tìm kiếm giải pháp về CNTT và truyền thông; triển khai được các giải pháp CNTT, phân tích dữ liệu và kết quả, đánh giá kỹ thuật để rút ra kết luận; có kỹ năng lập kế hoạch, điều phối, tổ chức, dẫn dắt và đánh giá công việc nhóm cũng như quản lý dự án CNTT hiệu quả; tư duy logic, biện chứng để giải quyết vấn đề thực tế hiệu quả và sáng tạo; thành thạo một số ngôn ngữ và công cụ lập trình hiện đại; có năng lực làm việc độc lập, chủ động cập nhật công nghệ và kiến thức mới, cùng khả năng học tập suốt đời trong môi trường chuyên nghiệp. Đặc biệt, sinh viên cần am hiểu và làm quen được với môi trường làm việc có yếu tố Nhật Bản, đồng thời vận dụng được kiến thức cơ bản về tiếng Nhật tương đương trình độ N3. Về mức độ tự chủ và chịu trách nhiệm (PLO3), sinh viên cần chủ động tuân thủ pháp luật và đạo đức nghề nghiệp; thể hiện tính trung thực, trách nhiệm cá nhân, tinh thần tự học, tự nghiên cứu, sẵn sàng hỗ trợ đồng nghiệp và có ý thức đóng góp vào việc tạo ra những sản phẩm có giá trị phục vụ cộng đồng cũng như phát triển lĩnh vực chuyên môn."
III,5,"5. Vị trí việc làm mà sinh viên có thể đảm nhiệm sau khi tốt nghiệp
Sinh viên tốt nghiệp chương trình Công nghệ Thông tin định hướng thị trường Nhật Bản có năng lực tham mưu, tư vấn và thực hiện các nhiệm vụ chuyên môn với tư cách như một kỹ sư trong lĩnh vực công nghệ thông tin, đáp ứng các yêu cầu cao về nghiên cứu và ứng dụng công nghệ thông tin của xã hội. Họ được trang bị khả năng làm việc độc lập, tự học, tự nghiên cứu và nâng cao trình độ, cùng khả năng thích nghi cao với sự phát triển nhanh chóng của ngành, và đặc biệt là sự sẵn sàng làm việc hiệu quả cho các doanh nghiệp Nhật Bản. Các vị trí công tác mà sinh viên có thể đảm nhận bao gồm: Kỹ sư cầu nối Nhật Bản (BrSE); Lập trình viên trên môi trường di động, Web; Lập trình viên hệ thống và cơ sở dữ liệu; Lập trình viên phát triển các hệ thống thông minh; Chuyên viên phân tích, thiết kế, phát triển hệ thống; Chuyên viên phân tích nghiệp vụ (BA); Chuyên viên thiết kế và xử lý nội dung số; Chuyên viên tư vấn dịch vụ công nghệ thông tin; và Chuyên viên kiểm thử phần mềm; Chuyên viên phân tích dữ liệu bằng máy tính. Sau một thời gian tích lũy kinh nghiệm, các sinh viên này hoàn toàn có khả năng phát triển lên các vị trí quản lý cao hơn như trưởng nhóm phát triển phần mềm, quản lý hệ thống thông tin, quản lý dự án, hoặc thậm chí là giám đốc công nghệ (CTO) cho các doanh nghiệp."
III,6,"6. Khả năng học tập, nâng cao trình độ sau khi tốt nghiệp
Sau khi tốt nghiệp, các cử nhân của chương trình Công nghệ Thông tin định hướng thị trường Nhật Bản có nhiều cơ hội và nền tảng vững chắc để tiếp tục con đường học tập, nghiên cứu và nâng cao trình độ chuyên môn. Họ có thể lựa chọn theo học các chương trình đào tạo sau đại học, như Thạc sĩ hoặc Tiến sĩ, tại các trường Đại học uy tín ở cả trong nước và quốc tế. Ngoài ra, sinh viên cũng có thể tiếp tục nghiên cứu, thực hành để trau dồi kỹ năng và nâng cao trình độ thông qua việc giải quyết các bài toán thực tế tại các doanh nghiệp và tổ chức xã hội, từ đó trở thành những chuyên gia trong lĩnh vực, góp phần vào sự phát triển của ngành Công nghệ Thông tin, đặc biệt là trong môi trường làm việc có yếu tố quốc tế và Nhật Bản."
III,7,"7. Tóm tắt yêu cầu chương trình đào tạo (Khối lượng kiến thức)
Chương trình đào tạo Công nghệ thông tin định hướng thị trường Nhật Bản có tổng cộng 135 tín chỉ chuyên môn, không bao gồm các học phần điều kiện tốt nghiệp quan trọng như Giáo dục thể chất, Giáo dục Quốc phòng – An ninh và Kỹ năng bổ trợ. Cấu trúc tín chỉ của chương trình được phân bổ một cách khoa học thành các khối kiến thức chính: Khối kiến thức chung chiếm 22 tín chỉ, tập trung cung cấp nền tảng về lý luận chính trị, pháp luật, tin học cơ bản và các học phần tiếng Nhật ban đầu; tiếp đó là Khối kiến thức chung theo lĩnh vực với 19 tín chỉ, củng cố kiến thức toán, lý và giới thiệu kỹ năng lập trình đầu tiên. Sau đó, Khối kiến thức chung cho khối ngành gồm 10 tín chỉ, bao gồm các môn học cơ sở ngành trực tiếp và quan trọng. Khối kiến thức chung cho nhóm ngành với 30 tín chỉ sẽ trang bị các kiến thức cốt lõi đặc thù của ngành Công nghệ Thông tin. Phần kiến thức chuyên sâu và mang tính đặc thù nhất là Khối kiến thức ngành, với tổng cộng 54 tín chỉ, được thiết kế để sinh viên có thể đi sâu vào chuyên môn và đáp ứng tốt nhất yêu cầu của thị trường lao động Nhật Bản; trong đó, khối này bao gồm 15 tín chỉ dành riêng cho các học phần tiếng Nhật chuyên sâu và văn hóa doanh nghiệp Nhật Bản, 14 tín chỉ dành cho các học phần bắt buộc của ngành với những nội dung cốt lõi và đặc biệt là kỳ thực tập tại doanh nghiệp Nhật Bản, 15 tín chỉ dành cho các học phần tự chọn cho phép sinh viên linh hoạt lựa chọn để phát triển chuyên môn sâu, 03 tín chỉ được dành cho các học phần tự chọn bổ trợ nhằm giúp sinh viên mở rộng kiến thức hoặc rèn luyện thêm kỹ năng; và cuối cùng, 07 tín chỉ được dành cho Khóa luận tốt nghiệp hoặc các học phần thay thế tương đương, để tổng kết kiến thức và thể hiện năng lực chuyên môn trước khi ra trường. Đáng chú ý, nhiều học phần chuyên ngành trong chương trình được tăng cường tính thực tiễn và định hướng thị trường thông qua sự tham gia giảng dạy, chia sẻ kinh nghiệm hoặc cung cấp bài toán thực tế từ các chuyên gia công nghệ đến từ các doanh nghiệp Công nghệ Thông tin Nhật Bản là đối tác của nhà trường."
IV,1,"1. Một số thông tin về chương trình đào tạo
Ngành đào tạo là Trí tuệ nhân tạo (tên tiếng Anh: Artificial Intelligence), với mã số ngành là 7480207. Chương trình này có thời gian đào tạo là 4 năm, và sinh viên sau khi hoàn thành sẽ được cấp danh hiệu Cử nhân. Tên văn bằng tốt nghiệp chính thức bằng tiếng Việt là ""Cử nhân ngành Trí tuệ nhân tạo"" và bằng tiếng Anh là ""The Degree of Bachelor in Artificial Intelligence""."
IV,2,"2. Mục tiêu của chương trình đào tạo
Chương trình Trí tuệ nhân tạo (TTNT) tại Trường Đại học Công nghệ, ĐHQGHN, đặt mục tiêu chung là đào tạo nguồn nhân lực cử nhân có trình độ chuyên môn cao, sở hữu năng lực vượt trội trong việc phát triển các hệ thống Trí tuệ nhân tạo và phân tích dữ liệu tiên tiến. Sinh viên tốt nghiệp được định hướng để có khả năng làm việc hiệu quả trong các doanh nghiệp lớn ở Việt Nam cũng như tại các quốc gia khác trong khu vực, qua đó đáp ứng nhu cầu cấp thiết của xã hội về nhân lực chất lượng cao trong lĩnh vực Trí tuệ nhân tạo và Khoa học dữ liệu. Về mục tiêu cụ thể, chương trình cam kết trang bị cho sinh viên các kiến thức và kỹ năng hiện đại, phù hợp với nhu cầu phát triển và ứng dụng Trí tuệ nhân tạo nói riêng và Công nghệ Thông tin nói chung trong bối cảnh toàn cầu hóa. Ngoài ra, chương trình cũng đặc biệt chú trọng đào tạo những kỹ năng bổ trợ cần thiết, khả năng tự học và tự thích nghi nhanh chóng, năng lực làm việc độc lập và trong môi trường công nghiệp trong cũng như ngoài nước, nhằm giúp sinh viên đạt được chuẩn chất lượng của các đại học tiên tiến trong khu vực. Điều này được thực hiện thông qua việc cung cấp một môi trường quản lý, giảng dạy và học tập hiện đại, tiên tiến và hiệu quả, cùng với đội ngũ giảng viên giỏi và việc áp dụng các phương pháp dạy – học tiên tiến."
